,label,cls,id,sample,original_duration,segments_6sec,segment_type,segment_number,duration,start_sec,stop_sec,original_path,comment,path,count,original_dir_cls
0,false (1),0,0,train,2,0,full_audio,0,2,0,2,calls\false\false (1).mp3,augs-- ,dataset\train\false\false (1) id-0.mp3,6,false
1,false (1),0,2,train,2,0,full_audio,0,2,0,2,calls\false\false (1).mp3,augs-- gen repeat white_noise mn2y slow_down noised_echo,dataset\train\false\false (1) id-2.mp3,6,false
2,false (1),0,4,train,2,0,full_audio,0,2,0,2,calls\false\false (1).mp3,augs-- gen repeat white_noise relu noised_echo pink_noise,dataset\train\false\false (1) id-4.mp3,6,false
3,false (1),0,6,train,2,0,full_audio,0,2,0,2,calls\false\false (1).mp3,augs-- gen repeat white_noise relu mxy pink_noise,dataset\train\false\false (1) id-6.mp3,6,false
4,false (1),0,8,train,2,0,full_audio,0,2,0,2,calls\false\false (1).mp3,augs-- gen repeat white_noise avg noised_echo pink_noise,dataset\train\false\false (1) id-8.mp3,6,false
5,false (1),0,10,train,2,0,full_audio,0,2,0,2,calls\false\false (1).mp3,augs-- gen repeat white_noise mn2y pink_noise,dataset\train\false\false (1) id-10.mp3,6,false
6,false (10),0,12,train,12,4,segment,0,6,0,6,calls\false\false (10).mp3,augs-- ,dataset\train\false\false (10) id-12.mp3,7,false
7,false (10),0,13,train,12,4,segment,0,6,0,6,calls\false\false (10).mp3,augs-- gen white_noise mn2y mxy avg reverse pink_noise,dataset\train\false\false (10) id-13.mp3,7,false
8,false (10),0,15,train,12,4,segment,0,6,0,6,calls\false\false (10).mp3,augs-- gen white_noise mx2y slow_down,dataset\train\false\false (10) id-15.mp3,7,false
9,false (10),0,17,train,12,4,segment,0,6,0,6,calls\false\false (10).mp3,augs-- gen relu avg,dataset\train\false\false (10) id-17.mp3,7,false
10,false (10),0,19,train,12,4,segment,0,6,0,6,calls\false\false (10).mp3,augs-- gen white_noise mny mx2y echo pink_noise,dataset\train\false\false (10) id-19.mp3,7,false
11,false (10),0,21,train,12,4,segment,0,6,0,6,calls\false\false (10).mp3,augs-- gen white_noise relu mx2y,dataset\train\false\false (10) id-21.mp3,7,false
12,false (10),0,23,train,12,4,segment,0,6,0,6,calls\false\false (10).mp3,augs-- gen relu mx2y echo,dataset\train\false\false (10) id-23.mp3,7,false
13,false (11),0,24,train,14,4,segment,0,6,0,6,calls\false\false (11).mp3,augs-- ,dataset\train\false\false (11) id-24.mp3,6,false
14,false (11),0,26,train,14,4,segment,0,6,0,6,calls\false\false (11).mp3,augs-- gen relu mxy avg echo,dataset\train\false\false (11) id-26.mp3,6,false
15,false (11),0,28,train,14,4,segment,0,6,0,6,calls\false\false (11).mp3,augs-- gen relu avg noised_echo reverse,dataset\train\false\false (11) id-28.mp3,6,false
16,false (11),0,30,train,14,4,segment,0,6,0,6,calls\false\false (11).mp3,augs-- gen slow_down noised_echo pink_noise,dataset\train\false\false (11) id-30.mp3,6,false
