label,cls,id,sample,original_duration,segments_20sec,segment_type,segment_number,duration,start_sec,stop_sec,original_path,comment,path,count,original_dir_cls
false (2),0,90,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat stft,dataset\train\false\false (2) id-90.mp3,23,false
false (2),0,94,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat mx2y,dataset\train\false\false (2) id-94.mp3,23,false
false (2),0,98,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat high_hz,dataset\train\false\false (2) id-98.mp3,23,false
false (2),0,102,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat mn2y,dataset\train\false\false (2) id-102.mp3,23,false
false (2),0,106,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat pink_noise,dataset\train\false\false (2) id-106.mp3,23,false
false (2),0,110,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat white_noise,dataset\train\false\false (2) id-110.mp3,23,false
false (2),0,114,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat mn2y,dataset\train\false\false (2) id-114.mp3,23,false
false (2),0,118,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat low_hz,dataset\train\false\false (2) id-118.mp3,23,false
false (2),0,122,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat stft,dataset\train\false\false (2) id-122.mp3,23,false
false (2),0,126,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat mny,dataset\train\false\false (2) id-126.mp3,23,false
false (2),0,130,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat pink_noise,dataset\train\false\false (2) id-130.mp3,23,false
false (2),0,134,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat mx2y,dataset\train\false\false (2) id-134.mp3,23,false
false (2),0,138,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat mn2y,dataset\train\false\false (2) id-138.mp3,23,false
false (2),0,142,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat high_hz,dataset\train\false\false (2) id-142.mp3,23,false
false (2),0,146,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat,dataset\train\false\false (2) id-146.mp3,23,false
false (2),0,150,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat echo,dataset\train\false\false (2) id-150.mp3,23,false
false (2),0,154,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat avg,dataset\train\false\false (2) id-154.mp3,23,false
false (2),0,158,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat pink_noise,dataset\train\false\false (2) id-158.mp3,23,false
false (2),0,162,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat slow_down,dataset\train\false\false (2) id-162.mp3,23,false
false (2),0,166,train,19,0,full_audio,0,19,0,19,calls\false\false (2).mp3,augs-- gen repeat mny,dataset\train\false\false (2) id-166.mp3,23,false
